[2026-02-25 12:47:24,163] 19 root - Initiate the Data ingestion
[2026-02-25 12:47:34,701] 65 root - Performed train test split on the Dataframe
[2026-02-25 12:47:34,701] 67 root - Exited split_data_as_train_test method od Data_Ingestion class
[2026-02-25 12:47:34,701] 71 root - exporting train and test file path.
[2026-02-25 12:47:34,707] 79 root - Exported train and test file path
[2026-02-25 12:47:34,708] 21 root - Data Ingestion completed
[2026-02-25 12:47:34,719] 25 root - Initiate Data validation
[2026-02-25 12:47:34,777] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 12:47:34,778] 42 root - Dataframe has columns:10
[2026-02-25 12:47:34,778] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 12:47:34,778] 42 root - Dataframe has columns:10
[2026-02-25 12:47:34,803] 27 root - data validation completed
[2026-02-25 12:47:34,804] 29 root - Data Transformation Initiatiated
[2026-02-25 12:47:34,804] 64 root - Entered initiate_data_transformation method of DataTransformation class
[2026-02-25 12:47:34,804] 67 root - starting data transformation
