[2026-02-25 07:30:51,316] 19 root - Initiate the Data ingestion
[2026-02-25 07:31:00,686] 65 root - Performed train test split on the Dataframe
[2026-02-25 07:31:00,686] 67 root - Exited split_data_as_train_test method od Data_Ingestion class
[2026-02-25 07:31:00,686] 71 root - exporting train and test file path.
[2026-02-25 07:31:00,690] 79 root - Exported train and test file path
[2026-02-25 07:31:00,691] 21 root - Data Ingestion completed
[2026-02-25 07:31:00,697] 25 root - Initiate Data validation
[2026-02-25 07:31:00,725] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 07:31:00,726] 42 root - Dataframe has columns:10
[2026-02-25 07:31:00,726] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 07:31:00,726] 42 root - Dataframe has columns:10
[2026-02-25 07:31:00,738] 27 root - data validation completed
